ETFS,RSquared,MSE,AIC
XLB,0.03421810343713172,0.0016610264246893862,-238.8225445702957
XLC,0.03824970985886855,0.000513322396909458,-331.6918333190912
XLE,0.017971585018242253,0.0013860526512291342,-204.28635444189604
XLF,0.06612582428826708,0.003198479705786683,-241.4981337610551
XLI,0.05839540037369739,0.002488421014625037,-250.02734515909322
XLK,0.1420213670825915,0.006585785484553505,-250.638006273899
XLP,0.08197742319391821,0.002068543900194198,-289.5822488414534
XLRE,0.06390307701110254,0.0014923719874040398,-293.7513895206424
XLU,0.0899285753808472,0.0028499415777023065,-273.80108721050044
XLV,0.07719297673355696,0.0027449968857628376,-264.50691191891883
XLY,0.08365774737652332,0.003368088868583858,-256.0750080474112
