ETFS,RSquared,MSE,AIC
XLB,0.2628262189149284,0.003827459013217785,-244.27077914837514
XLC,0.29724359798061184,0.0011967290477056126,-340.2814390193523
XLE,0.20348804977130708,0.004708184902878748,-205.36157844102854
XLF,0.48940105946208057,0.0071016401240886025,-270.96865819264826
XLI,0.41905418336003497,0.005357185135129258,-270.79815735253067
XLK,0.5038110866668079,0.007008787078351042,-276.06682396641474
XLP,0.2549863163900675,0.0019302279902869395,-290.617245520221
XLRE,0.17513071589654716,0.001226983989327838,-288.8589640761155
XLU,0.1537332537073146,0.001461595904618028,-265.0346572066087
XLV,0.41151147558241497,0.0043900278240145115,-282.8970270603427
XLY,0.47134040640215613,0.005692896686442679,-281.67826235796656
